ID,tree,x_m,y_m,Habitat-Plot,Habitat,Plot,DBHcyl,DBHcyl_100,DBHqsm,DBHqsm_100,DBHsec,DBHsec_100,TotalVolume,TotalVolume_100,TotalVolume_opt,TotalVolume_opt_100,TotalVolume_std,TotalVolume_std_100,TreeHeight,hull_volume,pc_height,species,dbh_manual,Unnamed..0.1,Unnamed..0,in_plot,habitat2,has_vol,TotalVolume_final,TotalVolume_final_sd,name,genus,classification,family,wd,wd_sd,cf,agc,agc_var,agc_var_p,h_agc,agc_cumsum,h_agc_p,vol_contrib,wd_contrib,cf_contrib,total_var_term,vol_uncertainty,wd_uncertainty,cf_uncertainty,vol_pct,wd_pct,cf_pct,total_pct,girth_manual,agc_manual,residual,residual_p,residual_cumsum,name.1,type,dbh,height,spcode,matchtype,NSG,tariff,mercvol_m.3,stemvol_m.3,stembiomass_t,crownbiomass_t,rootbiomass_t,AGC_WCC_t,p_agc,f_agc,fthp,agc_v,agc_p1,agc_m1,agc_p10,agc_m10,agc_demol,ratio,trunk_height,spring_of_the_crown,TreeHeight,Timber_ratio
11,0022_T10,533039.4412,131263.353,sssi-plot6,broadleaf,6,0.121168792,0.127010837,0.121168792,0.127124295,0.096559279,0.093750507,148.922287,198.7448425,146,149.4,30.71,50.39,9.690338135,21.65336845,10.08695962,avellana,12.5,,,,broadleaf,>0.1 m,0.1494,0.05039,Corylus avellana,Corylus,broadleaf,Betulaceae,0.5166,0.106599212,0.488,0.03766386,0.014894053,0.395446805,279.0599129,275.8067408,0.988342388,0.11375946,0.042579365,3.94E-05,0.156378176,0.012703359,0.00777185,0.000236265,72.7463788,27.2284575,0.025163704,100,39.26990817,0.020739887,0.016923973,0.816010853,1.028775478,avellana,any,9.3750507,9.690338135,MX,mixed,0.33,24.09393866,0.028055767,0.032264132,0.010647164,0.004304478,0.006108856,0.014951642,3.290835922,0.011792578,0.007780549,0.050103739,0.051110819,0.049106672,0.060625523,0.040584028,0.031043779,0.384831578,2.504241943,3.662704468,9.690338135,0.258426683
12,0144_T9,532923.3021,131440.0905,conifer,conifer,,0.135466322,0.135435954,0.126693726,0.126924649,0.125463858,0.125900388,132.4970245,109.9048843,115,88.8,24.68,14.78,8.036819458,13.34675647,13.30716337,abies,12.9,,,,conifer,>0.1 m,0.0888,0.01478,Picea abies,Picea,conifer,Pinaceae,0.37023,0.059858304,0.508,0.016701223,0.003876665,0.23211865,112.8902465,112.6715463,0.998062718,0.027702753,0.026140001,3.63E-05,0.053879068,0.002779776,0.002700232,0.000100642,51.41654175,48.51606089,0.067397356,100,40.52654523,0.031778406,-0.015077183,-0.474447423,-0.018228355,abies,conifer,12.5900388,8.036819458,XF,genus,0.31,17.83348092,0.052950067,0.056127071,0.017399392,0.007667705,0.006030363,0.025067097,0.235401425,0.002085224,0.009587303,0.020670565,0.021086041,0.020259218,0.025011381,0.016743155,0.015693137,0.68603009,5.674499512,2.292709351,8.036819458,0.706062833
13,0020_T11,532989.6206,131037.7239,sssi-plot8-11,broadleaf,08-Nov,1.013459206,0.19581455,1.013459206,0.19581455,0.161885053,0.120350465,2009.345337,310.592865,1272,1115,829.3,864.3,15.58694458,69.46057844,16.37930573,pendula,13.2,,,,broadleaf,>0.1 m,1.115,0.8643,Betula pendula,Betula,broadleaf,Betulaceae,0.52521,0.106599212,0.488,0.285777265,0.228997018,0.80131293,279.0599129,247.1594212,0.885685868,0.600868298,0.041194763,3.94E-05,0.642102412,0.221522233,0.058002763,0.001792681,93.57826523,6.41560638,0.00612839,100,41.46902303,0.023773028,0.262004237,11.02107147,1.290779715,pendula,any,12.0350465,15.58694458,MX,mixed,0.33,34.18836478,0.085752121,0.091754769,0.030279074,0.007990582,0.011406313,0.038269656,32.18626897,0.115338203,0.00023526,0.079605713,0.081205793,0.078021571,0.096322924,0.064480625,0.051155322,0.367094308,6.530197144,0.661834717,15.58694458,0.418952997
14,0174_T2,532909.8818,131478.1091,conifer,conifer,,0.193935886,0.212553605,0.193935886,0.212553605,0.107603334,0.223181278,235.3860168,340.259491,289.9,306.1,70.78,92.42,12.32429504,39.14537574,14.89865206,pendula,13.3,,,,conifer,>0.1 m,0.3061,0.09242,Betula pendula,Betula,broadleaf,Betulaceae,0.52521,0.106599212,0.488,0.078454189,0.028546364,0.363860294,112.8902465,109.2035881,0.967342985,0.0911602,0.041194763,3.94E-05,0.132394314,0.023687475,0.015923449,0.000492143,68.8550719,31.11520588,0.029722229,100,41.78318229,0.02422675,0.054227439,2.238329069,0.035999084,pendula,any,22.3181278,12.32429504,MX,mixed,0.33,22.94647625,0.258452852,0.26103738,0.086142335,0.036885365,0.053415864,0.1230277,3.765112625,0.033351975,0.004441959,0.087209359,0.088962264,0.085473895,0.105523326,0.07063958,0.064592246,0.408970445,3.847900391,3.678115845,12.32429504,0.31222073
15,0144_T3,532923.5096,131441.8083,conifer,conifer,,0.298150837,0.297818989,0.294802159,0.295750827,0.282651544,0.283596665,860.2560425,784.2370605,788.8,780.1,44.2,60.26,14.47439575,40.32762963,23.86159243,abies,13.5,,,,conifer,>0.1 m,0.7801,0.06026,Picea abies,Picea,conifer,Pinaceae,0.37023,0.059858304,0.508,0.146718743,0.026304562,0.17928563,112.8902465,103.501859,0.91683615,0.005967023,0.026140001,3.63E-05,0.032143337,0.01133351,0.023721295,0.000884132,18.56379371,81.32323399,0.112972299,100,42.41150082,0.03620344,0.110515303,3.052618836,0.146514386,abies,conifer,28.35966647,14.47439575,XF,genus,0.31,24.36329319,0.457719553,0.462296749,0.143311992,0.057297176,0.045922825,0.200609168,9.535106233,0.084463508,0.000241383,0.147496819,0.15046151,0.144561648,0.178471178,0.119472429,0.14044967,0.865321279,12.00012207,3.584991455,14.47439575,0.829058586
16,0042_T15,532977.15,131060.9208,sssi-plot8-11,broadleaf,08-Nov,0.137695834,0.137704834,0.127063751,0.145979762,0.159662157,0.126715779,377.9261475,360.3218079,349.7,313.2,37.56,38.34,17.55056763,35.78003512,17.67514836,excelsior,13.6,,,,broadleaf,>0.1 m,0.3132,0.03834,Fraxinus excelsior,Fraxinus,broadleaf,Oleaceae,0.55965,0.141673096,0.488,0.085537801,0.024058383,0.281260249,279.0599129,268.173116,0.9609876,0.014985137,0.06408284,3.94E-05,0.079107328,0.010471007,0.021653543,0.000536579,18.94279229,81.00746447,0.049743232,100,42.72566009,0.025618976,0.059918826,2.338845467,1.350698541,excelsior,any,12.6715779,17.55056763,MX,mixed,0.33,37.57708908,0.108357139,0.114858567,0.037903327,0.009078502,0.012974858,0.046981829,10.97233464,0.039318921,0.003682193,0.098407209,0.100385189,0.096448906,0.119072728,0.079709835,0.056457298,0.407671422,11.99613953,3.720001221,17.55056763,0.683518607
17,0144_T8,532924.8854,131444.9996,conifer,conifer,,0.148677617,0.148792684,0.144369319,0.142261788,0.141630992,0.14032045,84.14281464,60.93184662,84.14,79.71,0,26.56,6.578720093,37.51668678,14.23814448,abies,14.5,,,,conifer,>0.1 m,0.07971,0.02656,Picea abies,Picea,conifer,Pinaceae,0.37023,0.059858304,0.508,0.014991605,0.005553045,0.370410319,112.8902465,112.7191429,0.998484337,0.11102749,0.026140001,3.63E-05,0.137203805,0.004995321,0.002423823,9.03E-05,80.92158269,19.0519508,0.026466516,100,45.55309348,0.04395456,-0.028962955,-0.658929474,0.117551431,abies,conifer,14.03204501,6.578720093,XF,genus,0.31,14.48029236,0.057486996,0.060361346,0.018712017,0.010030045,0.007908211,0.028742062,0.186095201,0.001648461,0.009673025,0.011459868,0.011690211,0.011231817,0.013866441,0.009282493,0.008870126,0.965872824,3.54901123,3.970336914,6.578720093,0.539468343
18,0028_T5,532990.5906,131040.8208,sssi-plot8-11,broadleaf,08-Nov,0.169262081,0.269229323,0.169262081,0.269229323,0.169262081,0.234289318,391.2001953,391.191925,397,377.1,46.03,63.56,10.54321289,67.54862473,10.91570867,pendula,15.4,,,,broadleaf,>0.1 m,0.3771,0.06356,Betula pendula,Betula,broadleaf,Betulaceae,0.52521,0.106599212,0.488,0.096651665,0.025506342,0.263899665,279.0599129,266.9118326,0.956467842,0.028408919,0.041194763,3.94E-05,0.069643033,0.016290586,0.019616899,0.000606296,40.79219124,59.15130556,0.056503199,100,48.38052687,0.034977294,0.061674371,1.763268817,1.412372912,pendula,any,23.4289318,10.54321289,MX,mixed,0.33,19.33847276,0.242500515,0.24492552,0.080825422,0.041600581,0.060312465,0.122426003,12.24473192,0.043878505,0.003149622,0.100263454,0.102278747,0.098268211,0.121318787,0.081213407,0.065819799,0.397252798,5.766555786,1.035583496,10.54321289,0.54694483
19,0145_T7,532938.0485,131443.5945,conifer,conifer,,0.156323344,0.1562846,0.158046201,0.157151178,0.154633641,0.153931513,106.5030899,124.7113495,106.5,107.9,4.703,9.935,5.463607788,8.257141375,5.789756511,abies,15.5,,,,conifer,>0.1 m,0.1079,0.009935,Picea abies,Picea,conifer,Pinaceae,0.37023,0.059858304,0.508,0.020293491,0.003777769,0.186156664,112.8902465,112.6159884,0.997570578,0.008477989,0.026140001,3.63E-05,0.034654304,0.001868543,0.003281025,0.000122289,24.4644625,75.4307509,0.104786602,100,48.69468613,0.05217576,-0.031882269,-0.61105519,0.085669162,abies,conifer,15.3931513,5.463607788,XF,genus,0.31,11.81931535,0.059324522,0.061697503,0.019126226,0.012614861,0.009967693,0.031741087,0.294551592,0.002609185,0.009484971,0.023455314,0.023926772,0.022988558,0.028380934,0.018998804,0.017932837,0.69712162,4.335449219,2.037994385,5.463607788,0.793513991
20,0190_T1,534266.2046,132066.5333,pearcelands,coppice,,0.503085375,0.457831323,0.503085375,0.457831323,0.457182527,0.219622374,1361.705566,1064.188965,1269,1211,184,401.2,10.20944214,50.12370904,12.46414194,pendula,15.59718442,4138,4138,TRUE,coppice,>0.1 m,1.211,0.4012,Betula pendula,Betula,broadleaf,Betulaceae,0.52521,0.106599212,0.488,0.310382303,0.120607171,0.388576184,857.3659301,752.6621441,0.877877366,0.109757337,0.041194763,3.94E-05,0.150991451,0.102828555,0.062996723,0.001947029,72.69109373,27.28284483,0.026061437,100,49,0.036110005,0.274272298,7.595465531,1.0191623,pendula,any,21.96223736,10.20944214,MX,mixed,0.33,19.42589507,0.211809732,0.213927829,0.070596184,0.03544572,0.051311807,0.106041903,105.0141683,0.122484653,0.00050556,0.272754252,0.278236628,0.267326474,0.330032676,0.220930949,0.19164434,0.36158967,5.317550659,2.534667969,10.20944214,0.520846349
